epoch,num_episodes,mean_length,max_length,total_reward,max_reward,mean_reward
145,126,992.063492063,1690,32736.0,259.80952381,421.0
146,121,1033.05785124,1771,26545.0,219.380165289,415.0
147,129,968.992248062,1695,33217.0,257.496124031,417.0
148,133,939.84962406,2010,28410.0,213.609022556,429.0
149,133,939.84962406,1787,28754.0,216.195488722,423.0
150,124,1008.06451613,1784,33225.0,267.943548387,411.0
151,128,976.5625,1825,31442.0,245.640625,419.0
152,119,1050.42016807,1799,29787.0,250.31092437,421.0
153,131,954.198473282,1565,29213.0,223.0,416.0
154,121,1033.05785124,1861,28061.0,231.909090909,418.0
155,134,932.835820896,1540,26233.0,195.768656716,405.0
